loan_id,applicant_name,age,gender,income,employment_type,credit_score,loan_amount,loan_purpose,application_date,approval_status
LN0001,Jose Camacho,28,Male,418786,Salaried,528,342632,Business,2024-04-18,Rejected
LN0002,Matthew Smith,55,Male,339588,Salaried,330,246493,Personal,2025-06-05,Approved
LN0003,Derrick Mcmahon,59,Male,324254,Salaried,729,512297,Medical,2024-07-06,Approved
LN0004,Stephanie Lee,21,Male,396026,Salaried,584,376064,Personal,2024-08-05,Rejected
LN0005,Caitlin Jackson,42,Male,78625,Salaried,667,1827324,Education,2023-11-09,Approved
LN0006,Paula Dixon,23,Female,311137,Salaried,687,215255,Home Improvement,2025-04-12,Approved
LN0007,Nicholas Thompson,60,Female,332698,Salaried,371,146100,Personal,2024-02-21,Rejected
LN0008,Dalton Vasquez,26,Male,484286,Salaried,584,1000870,Education,2025-05-31,Approved
LN0009,Michael Le,43,Male,381364,Salaried,373,1327440,Personal,2025-06-17,Rejected
LN0010,Janet Simon,36,Male,272357,Salaried,524,1485740,Education,2025-03-13,Rejected
LN0011,Margaret Nelson,24,Male,460861,Salaried,623,891303,Education,2024-12-14,Approved
LN0012,Jeffrey Jones MD,57,Female,141477,Self-employed,705,1905315,Medical,2024-09-09,Approved
LN0013,Pamela Barker,29,Male,420588,Salaried,569,1616601,Home Improvement,2023-10-11,Rejected
LN0014,Karen White,58,Female,219790,Salaried,441,1118554,Medical,2024-04-16,Approved
LN0015,Alexis Washington DVM,24,Male,110132,Self-employed,732,1300760,Business,2024-06-01,Approved
LN0016,Penny Anderson,59,Female,307408,Salaried,311,1476657,Business,2024-05-27,Rejected
LN0017,Matthew Wilson,55,Female,432967,Self-employed,414,665514,Medical,2025-03-19,Approved
LN0018,Lori Mitchell,21,Female,292451,Self-employed,819,1963919,Business,2024-11-04,Rejected
LN0019,Tina Gonzalez,40,Male,110131,Salaried,465,1181159,Home Improvement,2024-06-07,Rejected
LN0020,Samuel Williams,59,Female,286170,Salaried,671,1892813,Education,2024-03-18,Approved
LN0021,David Mitchell,36,Male,74907,Self-employed,370,1645098,Home Improvement,2024-09-22,Rejected
LN0022,Sarah Bowman,29,Female,318255,Salaried,840,1879624,Home Improvement,2024-03-22,Approved
LN0023,Jacqueline Hernandez,34,Male,403790,Salaried,682,968762,Home Improvement,2024-11-26,Approved
LN0024,Gary Waters,36,Male,63568,Salaried,535,1284048,Personal,2025-06-11,Approved
LN0025,Gregory Lozano,24,Male,65337,Unemployed,638,198598,Home Improvement,2024-06-15,Approved
LN0026,Brandon Scott,52,Male,312713,Salaried,784,559602,Medical,2025-02-03,Rejected
LN0027,Sarah Banks,33,Male,80819,Self-employed,662,938308,Medical,2023-07-27,Approved
LN0028,Jennifer Freeman,24,Male,61778,Salaried,647,1728964,Business,2024-08-27,Approved
LN0029,Cynthia Martinez,33,Female,103495,Salaried,585,1020201,Personal,2025-07-11,Rejected
LN0030,Patrick Short,25,Female,453636,Self-employed,400,156091,Home Improvement,2023-09-07,Rejected
LN0031,Allison Watkins,26,Male,117194,Salaried,792,498260,Medical,2024-12-20,Rejected
LN0032,Mary Edwards,31,Female,31130,Unemployed,571,1993049,Medical,2024-11-24,Approved
LN0033,Spencer Wright,56,Female,111158,Salaried,522,172648,Home Improvement,2024-08-25,Rejected
LN0034,Nicole Wilkins,24,Female,59971,Salaried,788,1104553,Home Improvement,2023-12-23,Approved
LN0035,Mark Clayton,53,Male,476348,Salaried,369,1466023,Personal,2024-05-03,Rejected
LN0036,Tina Owen,57,Male,333520,Salaried,383,929178,Home Improvement,2023-08-27,Rejected
LN0037,Tracy Schwartz,41,Female,137090,Self-employed,621,550560,Education,2024-08-26,Approved
LN0038,Amber Perkins,40,Female,195767,Unemployed,374,69535,Medical,2023-11-15,Rejected
LN0039,Shannon Elliott,57,Male,68409,Salaried,818,606165,Personal,2024-09-29,Rejected
LN0040,Meghan Garcia,25,Male,223738,Salaried,748,1798489,Home Improvement,2023-12-09,Rejected
LN0041,Sandra Edwards,60,Male,380152,Self-employed,606,1441226,Business,2024-05-01,Rejected
LN0042,Heather Stewart MD,29,Female,90517,Self-employed,459,621155,Education,2024-11-18,Rejected
LN0043,Timothy Thomas,42,Male,390446,Self-employed,570,1109919,Medical,2024-08-25,Approved
LN0044,Kaitlyn Taylor,24,Male,362547,Salaried,583,142456,Business,2024-06-26,Rejected
LN0045,Michael Warren,29,Female,114715,Self-employed,737,1226306,Business,2025-06-17,Approved
LN0046,Jennifer Fitzgerald,30,Male,467568,Salaried,451,951328,Personal,2023-10-11,Approved
LN0047,Elizabeth Cummings,44,Male,217595,Salaried,555,1448660,Business,2023-08-12,Rejected
LN0048,Mrs. Christie Garza,56,Female,355405,Self-employed,542,1863209,Personal,2024-12-30,Rejected
LN0049,Clinton Bowman,32,Female,42995,Salaried,640,1690783,Medical,2024-09-10,Rejected
LN0050,Victor Howard,36,Female,113465,Self-employed,410,852248,Business,2025-05-28,Rejected
LN0051,Savannah Hall,35,Male,458126,Unemployed,658,690031,Personal,2024-05-05,Approved
LN0052,Joseph Rush,33,Female,202103,Salaried,371,1671783,Education,2025-05-10,Rejected
LN0053,Dr. Chelsea Wolf,53,Female,386263,Unemployed,849,744471,Business,2024-03-07,Approved
LN0054,Caleb Byrd,37,Male,334396,Unemployed,571,130231,Business,2023-10-24,Rejected
LN0055,Jennifer Nelson,43,Female,258796,Self-employed,823,292526,Medical,2023-10-11,Rejected
